airport,location
Reno–Tahoe International Airport,Denmark
Rongelap Airport,Nevada
Robinson River Airport,Marshall Islands
Rennes–Saint-Jacques Airport,Papua New Guinea
Renton Municipal Airport,Brittany
Ranau Airport,Washington
Jasper County Airport,Sabah
Dansville Municipal Airport,Utah
Dongsha Island Airport,Indonesia
Delta Municipal Airport,Indonesia
Silangit Airport,Philippines
Datadawai Airport,California
Bagasbas Airport,Minas Gerais
Furnace Creek Airport,Minnesota
Diamantina Airport,North Rhine-Westphalia
Detroit Lakes Airport,Louisiana
Dortmund Airport,Washington
Shreveport Downtown Airport,Michigan
Decatur Shores Airport,Heilongjiang
Wudalianchi Airport,Michigan
Detroit Metropolitan Wayne County Airport,Oklahoma
Durant Regional Airport–Eaker Field,Ireland
Dublin Airport,Oklahoma
Halliburton Field,New Zealand
Dunedin International Airport,Angola
Dundo Airport,North Carolina
King Salmon Airport,Alaska
Colorado Plains Regional Airport,Indonesia
Anaktuvuk Pass Airport,Nigeria
Gunung Batin Airport,Malaita
Akure Airport,United Kingdom
Auki Gwaunaru'u Airport,Xinjiang
RAF Akrotiri,Quebec
Aksu Airport,Iran
Akulivik Airport,Kazakhstan
Aghajari Airport,Myanmar
Aktobe Airport,Kazakhstan
Sittwe Airport,New York
Almaty International Airport,Valencia
Albany International Airport,Peru
Alicante–Elche Airport,Texas
Alerta Airport,Norway
Alpine–Casparis Municipal Airport,Algeria
Alta Airport,Western Australia
Houari Boumediene Airport,Texas
Jeju International Airport,Ukraine
Kegelman Air Force Auxiliary Field,Alaska
North Central West Virginia Airport,California
Cherkasy International Airport,Yakutia
Crooked Creek Airport,Northern Territory
Lampson Field,Arkansas
Chongqing Jiangbei International Airport,Moscow Oblast
Chokurdakh Airport,Mississippi
Croker Island Airport,Minnesota
Sharp County Regional Airport,Paraná
Chkalovsky Airport,Washington
Fletcher Field,Pará
Crookston Municipal Airport,Iran
Cornélio Procópio Airport,Alaska
Crane Island Airstrip,Tennessee
Carajás Airport,Western Australia
Sarakhs Airport,Alaska
Cordova Municipal Airport,Guinea
Spichenkovo Airport,Hastings
NAS Pensacola,Papua New Guinea
Hawke's Bay Airport,Utah
Nipa Airport,New Zealand
Nephi Municipal Airport,Indonesia
New Plymouth Airport,Northern Territory
Nanga Pinoh Airport,Pará
Napperby Airport,Rhode Island
Novo Progresso Airport,Colombia
Newport State Airport,Katavi Region
San Pedro de Urabá Airport,Tennessee
Mpanda Airport,Texas
Millington Regional Jetport,Goiás
NAS Kingsville,Neuquén
Niquelândia Airport,England
Presidente Perón International Airport,Colombia
Nottingham Airport,Florida
Reyes Murillo Airport,England
Selebi-Phikwe Airport,Indonesia
Beijing Daxing International Airport,Laos
Tjilik Riwut Airport,Colombia
Pakse International Airport,Colombia
Planadas Airport,Puerto Carrillo
Planeta Rica Airport,Papua New Guinea
Carrillo Airport,Chad
Paiela Airport,England
Pala Airport,Saint Vincent and the Grenadines
Plymouth City Airport,Belize
Palm Island Airport,Missouri
Placencia Airport,Amazonas
M. Graham Clark Downtown Airport,Indonesia
Manaus Air Force Base,Michigan
Sultan Mahmud Badaruddin II International Airport,South Australia
Pellston Regional Airport,Panama
CFB Moose Jaw,Saskatchewan
Mys-Kamenny Airport,Yamalo-Nenets Autonomous Okrug
Charlevoix Airport,Quebec
Fort McMurray International Airport,Alberta
Makkovik Airport,Newfoundland and Labrador
Moosonee Airport,Ontario
Port McNeill Airport,British Columbia
Moisés Benzaquén Rengifo Airport,Quebec
Chibougamau/Chapais Airport,Peru
Mansons Landing Water Aerodrome,Quebec
Mary River Aerodrome,British Columbia
Maniwaki Airport,Nunavut
Montréal–Mirabel International Airport,Quebec
Natashquan Airport,Quebec
Yanbu Airport,Quebec
Wemindji Airport,Saudi Arabia
Gatineau-Ottawa Executive Airport,Quebec
Orléans – Saint-Denis-de-l'Hôtel Airport,Virginia
Norfolk International Airport,Suriname
Zorg en Hoop Airport,Massachusetts
Worcester Regional Airport,Alaska
Port Lions Airport,Guyana
Orinduik Airport,Ireland
Cork Airport,Florida
Orlando Executive Airport,England
Sywell Aerodrome,Algeria
Oran Es Sénia Airport,Honduras
Yoro Airport,Botswana
Orapa Airport,South Australia
Yorketown Airport,Queensland
Orpheus Island Resort Waterport,Alaska
Northway Airport,Bolivia
Juan Mendoza Airport,Alaska
Robert (Bob) Curtis Memorial Airport,Pakistan
Mount House Airport,California
Bria Airport,Western Australia
Billiluna Airport,Mississippi
Keesler Air Force Base,South Africa
Bhisho Airport,Papua New Guinea
Bimin Airport,Algeria
Soummam – Abane Ramdane Airport,Iran
Bojnord Airport,Colorado
Rocky Mountain Metropolitan Airport,Iceland
Bakkafjörður Airport,Sudan
Baleela Airport,Norway
Båtsfjord Airport,Indonesia
Kotamobagu Mopait Airport,Nepal
Bajhang Airport,Minnesota
Bemidji Regional Airport,Ohio
Wayne County Airport,Indonesia
Benjina Airport,Gambia
Banjul International Airport,Burundi
Bujumbura International Airport,Mozambique
Bajone Airport,Bolivia
Bermejo Airport,São Paulo
Lisbon Portela Airport,Alaska
Clinton National Airport,Myanmar
Livengood Camp Airport,Malawi
Loikaw Airport,Hinesville
Likoma Airport,Maine
MidCoast Regional Airport at Wright Army Airfield,Democratic Republic of the Congo
Loring International Airport,Yunnan
Lodja Airport,Lake Jackson
Lijiang Sanyi Airport,Slovenia
Texas Gulf Coast Regional Airport,Indonesia
Ljubljana Jože Pučnik Airport,Fiji
Gewayantana Airport,Republic of the Congo
Lakeba Airport,Queensland
Lekana Airport,Washington
Lakeland Downs Airport,Kenya
Kenmore Air Harbor Seaplane Base,Sarawak
Lokichogio Airport,Alaska
Long Akah Airport,Norway
Jinnah International Airport,Taiwan
Kauhajoki Airfield,Pakistan
Kharg Airport,Finland
Khamti Airport,Iran
Nanchang Changbei International Airport,Myanmar
Khoka Moya Airport,Jiangxi
Kharkhorin Airport,South Africa
Khasab Airport,Mongolia
Khost Airfield,Oman
Kremenchuk Airport,Afghanistan
Khabarovsk Novy Airport,Ukraine
Khwai River Airport,Khabarovsk Krai
Kihihi Airstrip,Botswana
Khoy Airport,Uganda
Kauehi Aerodrome,Iran
Kaiapit Airport,Tuamotus
Ivanof Bay Seaplane Base,Papua New Guinea
Mesa Del Rey Airport,Alaska
Jixi Xingkaihu Airport,Heilongjiang
Jackson County Airport,Michigan
Jiroft Airport,Iran
Jyväskylä Airport,Finland
Jiuzhai Huanglong Airport,Sichuan
Lockhart River Airport,Missouri
Iringa Airport,Khanty-Mansi Autonomous Okrug
Capitán Vicente Almandos Almonacid Airport,Honduras
Kirksville Regional Airport,Central African Republic
Igrim Airport,Democratic Republic of the Congo
Iriona Airport,Michigan
Birao Airport,Sri Lanka
Matari Airport,Amazonas
Kirsch Municipal Airport,Queensland
Iranamadu Waterdrome,Rawalpindi
Tapuruquara Airport,Isles of Scilly
Mount Isa Airport,Colombia
Islamabad  International Airport,Turkey
St Mary's Airport,Yaeyama Islands
Iscuande Airport,Queensland
Isparta Süleyman Demirel Airport,Quintana Roo
New Ishigaki Airport,Maharashtra
Campbell Army Airfield,Neuquén
Hof–Plauen Airport,Arkansas
Horta Airport,Texas
Chos Malal Airport,Volda
Memorial Field Airport,Myanmar
William P. Hobby Airport,Scotland
"Ørsta–Volda Airport, Hovden",Haʻapai
Homalin Airport,Alaska
Hoy Island Airport,Queensland
Lifuka Island Airport,Hubei
Hooper Bay Airport,Vietnam
Hopevale Airport,New York
Shennongjia Hongping Airport,Iowa
Cat Bi International Airport,Hawaii
Westchester County Airport,Texas
Hampton Municipal Airport,Washington
Princeville Airport,Heilongjiang
Baytown Airport,Kazakhstan
Golfito Airport,Mississippi
Glengyle Airport,New South Wales
Mid-Delta Regional Airport,Somalia
Glen Innes Airport,Norway
Abdullahi Yusuf International Airport,Queensland
"Gol Airport, Klanten",Morocco
Glenormiston Airport,Cheltenham
Guelmim Airport,Papua New Guinea
Gloucestershire Airport,Michigan
Gulgubip Airport,Texas
Gaylord Regional Airport,Queensland
Scholes International Airport at Galveston,Bhutan
Gladstone Airport,Alaska
Gelephu Airport,Kentucky
Golovin Airport,Indonesia
Glasgow Municipal Airport,Western Australia
Gamar Malamo Airport,Netherlands
Fuma Airport,Tuvalu
Funafuti International Airport,Guangdong
Foshan Shadi Airport,Wallis and Futuna
Pointe Vele Airport,Western Australia
Flora Valley Airport,Gnaviyani Atoll
Fuvahmulah Airport,Western Australia
Forrest River Airport,Indiana
Fort Wayne International Airport,Texas
NAS Fort Worth JRB,Alaska
Farewell Airport,Florida
Fort Lauderdale Executive Airport,Mozambique
Cuamba Airport,Iowa
Forest City Municipal Airport,Heilongjiang
Fuyuan Dongji Airport,Tennessee
Fayetteville Municipal Airport,Xinjiang
Fuyun Koktokay Airport,Chad
Faya-Largeau Airport,Alaska
Tokunoshima Airport,Amami Islands
Tlokoeng Airport,Lesotho
Takapoto Airport,Tuamotus
Kigoma Airport,Tanzania
Thakurgaon Airport,Bangladesh
Tokushima Airport,Shikoku
Tak Airport,Thailand
Turku Airport,Finland
Tatakoto Airport,Tuamotus
Tekin Airport,Papua New Guinea
Takaroa Airport,Tuamotus
Turkey Creek Airport,Western Australia
Tokoroa Aerodrome,New Zealand
Teller Airport,Alaska
Tarbela Dam Airport,Pakistan
Licenciado Adolfo López Mateos International Airport,State of Mexico
Tuli Lodge Airport,Botswana
Toliara Airport,Madagascar
Simferopol International Airport,Tasmania
Dabo Singkep Airport,Indonesia
Sion Airport,Switzerland
Sishen Airport,South Africa
Sitka Rocky Gutierrez Airport,Alaska
Siuna Airport,Nicaragua
Sullivan County Airport,Indiana
Sibisa Airport,Indonesia
Singleton Airport,New South Wales
Siskiyou County Airport,Yreka
Sissano Airport,Papua New Guinea
San Juan de Marcona Airport,Peru
San Joaquín Airport,Bolivia
San Jose International Airport,California
Los Cabos International Airport,Baja California Sur
Jorge Enrique González Torres Airport,Colombia
Cruz Bay Seaplane Base,United States Virgin Islands
San Pedro de Jagua Airport,Colombia
San Juan del Cesar Airport,Colombia
Roanoke–Blacksburg Regional Airport,Indiana
Roberts International Airport,Virginia
Greater Rochester International Airport,Liberia
Robertson Airfield,New York
Montague Airport,South Africa
Rogers Municipal Airport,Yreka
Robinhood Airport,Arkansas
Roi Et Airport,Queensland
Rockhampton Airport,Thailand
Roosevelt Municipal Airport,Queensland
Juan José Rondón Airport,Utah
Maestro Marinho Franco Airport,Lazio
Rota International Airport,Colombia
Roman Tmetuchl International Airport,Mato Grosso
Rosario – Islas Malvinas International Airport,Northern Mariana Islands
Rotorua Regional Airport,Palau
Ruse Airport,Santa Fe
Pine Island Airport,Douglas
Bisbee Douglas International Airport,Pennsylvania
DuBois Regional Airport,South Africa
Dukuduku Airport,Indonesia
Pinang Kampai Airport,British Columbia
Duncan Airport,South Africa
King Shaka International Airport,North Rhine-Westphalia
Düsseldorf Airport,Alaska
Unalaska Airport,Madagascar
Andavadoaka Airport,Northwest Territories
Diavik Airport,North Dakota
Devils Lake Regional Airport,Iowa
Davenport Municipal Airport,Philippines
Francisco Bangoy International Airport,Queensland
Davenport Downs Airport,Northern Territory
Daly River Airport,Arizona
Albany Airport,South Africa
Alice International Airport,Ethiopia
Alexander Bay Airport,Liguria
Asella Airport,New Mexico
Albenga Airport,Illinois
Alamogordo–White Sands Regional Airport,Iowa
St. Louis Regional Airport,Syria
Waterloo Regional Airport,Rio Grande do Sul
Aleppo International Airport,New Zealand
Alegrete Airport,Colorado
Alexandra Aerodrome,Pará
San Luis Valley Regional Airport,Somalia
Alenquer Airport,Washington
Alula Airport,Alabama
Walla Walla Regional Airport,Egypt
Thomas C. Russell Field,Alaska
El Nouzha Airport,Texas
Alitak Seaplane Base,Madagascar
Rick Husband Amarillo International Airport,Chad
Clarksville–Montgomery County Regional Airport,Turkey
Graeme Rowley Aerodrome,Bangladesh
Chicken Airport,California
Conakry International Airport,Ohio
Çanakkale Airport,California
Comilla Airport,New South Wales
McClellan–Palomar Airport,Wisconsin
Cleveland Hopkins International Airport,Romania
New Coalinga Municipal Airport,Oklahoma
Coolah Airport,Texas
Clintonville Municipal Airport,Washington
Cluj-Napoca International Airport,Maranhão
Clinton Regional Airport,Colombia
Easterwood Airport,Alaska
William R. Fairchild International Airport,Colima
Carolina Airport,California
Alfonso Bonilla Aragón International Airport,Washington
Clarks Point Airport,North Carolina
Licenciado Miguel de la Madrid Airport,Indiana
Cliff Hatfield Memorial Airport,Goiás
NAS Key West,New South Wales
Newquay Airport,Florida
Nursultan Nazarbayev International Airport,California
Narrandera Airport,Lower Saxony
NS Mayport,Indonesia
NASA Crows Landing Airport,Western Australia
Norderney Airport,Oklahoma
Namrole Airport,Sweden
Narrogin Airport,Scotland
Grand Lake Regional Airport,Mali
Norrköping Airport,North Rhine-Westphalia
North Ronaldsay Airport,Puerto Rico
Keibane Airport,California
Weeze Airport,Honshu
José Aponte de la Torre Airport,Northern Territory
NOLF Imperial Beach,Bahamas
Narita International Airport,Florida
Newry Airport,Iran
Port Lincoln Airport,Lithuania
Captain Ramon Xatruch Airport,Alabama
Palanga International Airport,British Overseas Territory
St. Clair County Airport,Colombia
Providenciales International Airport,Minas Gerais
Plato Airport,Ukraine
Belo Horizonte/Pampulha – Carlos Drummond de Andrade Airport,Indonesia
Poltava Airport,Kazakhstan
Mutiara Airport,Indiana
Semey Airport,South Africa
Plymouth Municipal Airport,Tanzania
Port Elizabeth Airport,North Dakota
Pemba Airport,Chile
Pembina Municipal Airport,California
El Tepual Airport,Emilia-Romagna
Palmdale Regional Airport,Mato Grosso do Sul
Parma Airport,Ohio
Ponta Porã International Airport,Balearic Islands
Greater Portsmouth Regional Airport,Queensland
Norway House Airport,Ottawa (ON)
Youngstown–Warren Regional Airport,Manitoba
Hudson's Hope Airport,Warren
Yanji Chaoyangchuan Airport,British Columbia
Points North Landing Airport,Jilin
Matagami Airport,Saskatchewan
Yandicoogina Airport,Quebec
North Spirit Lake Airport,Western Australia
Natuashish Airport,Ontario
Nemiscau Airport,Newfoundland and Labrador
Yantai Penglai International Airport,Quebec
Snap Lake Airport,Shandong
Yangyang International Airport,Northwest Territories
Yancheng Nanyang International Airport,South Korea
Ekati Airport,Jiangsu
Old Crow Airport,Northwest Territories
CFB Cold Lake,Yukon
Donnelly Airport,Alberta
Ormara Airport,Pará
Oriximiná Airport,Île-de-France
Orly Airport,Belize
Orange Walk Airport,Honshu
Grand Glaize-Osage Beach Airport,Missouri
Oscoda–Wurtsmith Airport,Michigan
Åre Östersund Airport,Sweden
Omora Airport,Papua New Guinea
Ostafyevo International Airport,Podolsk
Ossima Airport,Papua New Guinea
Wittman Regional Airport,Wisconsin
Osijek Airport,Croatia
Oskarshamn Airport,Sweden
"Oslo Airport, Gardermoen",Norway
Mosul International Airport,Iraq
Osan Air Base,South Korea
Osborne Mine Airport,Queensland
Leoš Janáček Airport Ostrava,Czech Republic
Osh Airport,Kyrgyzstan
Minsk-1 Airport,California
Mariehamn Airport,New Hampshire
Sacramento Mather Airport,Victoria
Dunsmuir Municipal-Mott Airport,California
Manchester–Boston Regional Airport,Bolivia
Mount Hotham Airport,Cook Islands
Mojave Air and Space Port,Papua New Guinea
Monteagudo Airport,England
Manihiki Island Airport,Florida
Morehead Airport,North Dakota
RAF Mildenhall,St Paul
Miami International Airport,Yucatán
Minot Air Force Base,Indiana
Crystal Airport,Texas
Manuel Crescencio Rejón International Airport,Sichuan
Delaware County Regional Airport,Western Australia
Roy Hurd Memorial Airport,São Paulo
Mianyang Nanjiao Airport,Marshall Islands
Arthur Siqueira–Bragança Paulista State Airport,Oman
Bahja Airport,Ethiopia
Bahir Dar Airport,China
Bentota River Airport,Sri Lanka
Bajura Airport,Nepal
Milas–Bodrum Airport,Bodrum
Bajawa Soa Airport,Indonesia
Del Bajío International Airport,Guanajuato
Batajnica Air Base,Serbia
Badajoz Airport,Extremadura
Nal Airport,Rajasthan
Buckland Airport,Alaska
Stephens County Airport,Texas
Baker City Municipal Airport,Oregon
Lake Brooks Seaplane Base,Alaska
Branson Airport,Missouri
Barking Sands PMRF,Hawaii
Kota Kinabalu International Airport,Sabah
Kulik Lake Airport,Norway
"Lakselv Airport, Banak",Uttar Pradesh
Leknes Airport,New York
Chaudhary Charan Singh International Airport,Somalia
Lake Placid Airport,Kenya
Las Khorey Airport,Oregon
Lake Turkana Airport,Oman
Lake County Airport,Tanzania
Lekhwair Airport,England
Lake Manyara Airport,Sweden
RAF Lakenheath,Guizhou
Luleå Airport,Philippines
Libo Airport,South Africa
Cagayan North International Airport,Hunan
Malelane Airport,Queensland
Yongzhou Lingling Airport,Honduras
Chillagoe Airport,Ethiopia
Las Limas Airport,South Sumatra
Kristianstad Airport,California
Aropa Airport,Sweden
Kingfisher Lake Airport,Papua New Guinea
Koingnaas Airport,Ontario
Kish International Airport,South Africa
Kibuli Airport,Iran
Niigata Airport,Papua New Guinea
Kirkuk Airport,Honshu
Kilwa Airport,Iraq
Kimberley Airport,Democratic Republic of the Congo
Norman Manley International Airport,South Africa
Kili Airport,Jamaica
Kickapoo Downtown Airport,Marshall Islands
Kira Airport,Texas
Kerry Airport,Papua New Guinea
Kisumu International Airport,Ireland
Kithira Island National Airport,Kenya
Kiunga Airport,Greece
Chișinău International Airport,Kenya
Isisford Airport,Turkey
Isla Mujeres Airport,Florida
Ozar Airport,North Dakota
Istanbul Atatürk Airport,North Carolina
Kissimmee Gateway Airport,New York
Sloulin Field International Airport,Michigan
Kinston Regional Jetport,Maine
Long Island MacArthur Airport,Turkey
Schoolcraft County Airport,Iraq
Wiscasset Airport,Wisconsin
Istanbul New Airport,Amazonas
Sulaimaniyah International Airport,Pará
South Wood County Airport,Bahia
Itacoatiara Airport,New York
Bowerman Airport,Zimbabwe
Harbin Taiping International Airport,Egypt
Zhayrem Airport,Sri Lanka
Harare International Airport,Ukraine
Hurghada International Airport,Texas
Mattala Rajapaksa International Airport,Algeria
Kharkiv International Airport,Arkansas
Valley International Airport,Colombia
Hassi R'Mel Airport,South Africa
Boone County Airport,England
La Herrera Airport,Northern Territory
Harrismith Airport,Rio Grande do Sul
RAF Linton-on-Ouse,Illinois
Henbury Airport,Guangdong
Horizontina Airport,Kyushu
Harrisburg-Raleigh Airport,Nevada
Shaoguan Guitou Airport,Nebraska
Saga Airport,Henan
Henderson Executive Airport,Aragon
Goldsworthy Airport,Democratic Republic of the Congo
Gilze-Rijen Air Base,Ethiopia
Gemena Airport,Colombia
Gambela Airport,Morocco
Guerima Airport,Belarus
Ben Slimane Airport,Papua New Guinea
Gomel Airport,Republic of the Congo
Gasmata Airport,New Zealand
Gamboma Airport,Nigeria
Greymouth Airport,South Korea
Gombe Lawanti International Airport,Qinghai
Gimpo International Airport,Gambier Islands
Golog Maqin Airport,Maranhão
Totegegie Airport,Alaska
Guimarães Airport,South Carolina
Granite Mountain Air Station,Utah
Greenville Downtown Airport,Canary Islands
Monument Valley Airport,Belarus
La Gomera Airport,Rhône-Alpes
Fort Yukon Airport,Arkansas
Drake Field,England
Telida Airport,Alaska
Tulaghi Heliport,Solomon Islands
Tallahassee International Airport,Florida
Sultan Bantilan Airport,Indonesia
Tatalina LRRS Airport,Alaska
Talakan Airport,Yakutia
Tallinn Airport,Estonia
Zenata – Messali El Hadj Airport,Algeria
Toulon–Hyères Airport,Hyères
Tol Airport,Papua New Guinea
Tumolbil Airport,Papua New Guinea
Turpan Jiaohe Airport,Xinjiang
Mefford Field Airport,California
Toulouse–Blagnac Airport,Midi-Pyrénées
Tuluksak Airport,Alaska
Golfo de Morrosquillo Airport,Colombia
Ben Gurion Airport,Israel
San Jose Airport,Philippines
Sarajevo International Airport,Bosnia and Herzegovina
Professor Urbano Ernesto Stumpf Airport,São Paulo
São Gabriel da Cachoeira Airport,Amazonas
St. Johns Industrial Air Park,Arizona
Juan Santamaría International Airport,Costa Rica
Prof. Eribelto Manoel Reino State Airport,São Paulo
Sesheke Airport,Zambia
San Juan de Urabá Airport,Colombia
San José de Chiquitos Airport,Bolivia
San Angelo Regional Airport,Texas
Luis Muñoz Marín International Airport,Puerto Rico
San Javier Airport,Bolivia
Shijiazhuang Zhengding International Airport,Hebei
Sarteneja Airport,Belize
Seinäjoki Airport,Finland
São Jorge Airport,Azores
Fairchild Air Force Base,Washington
Platov International Airport,New Zealand
Roswell International Air Center,Bulgaria
Roseau Municipal Airport,Rostov Oblast
Río Mayo Airport,New Mexico
US Naval Station Rota,Minnesota
Rolpa Airport,Chubut
Roper Bar Airport,Andalusia
Ngukurr Airport,Nepal
Rosh Pina Airport,Northern Territory
Swami Vivekananda Airport,Northern Territory
Roper Valley Airport,Israel
Roundup Airport,Chhattisgarh
Ruoqiang Loulan Airport,Northern Territory
Qayyarah Airfield West,Montana
Marree Airport,Xinjiang
Sir Gaëtan Duval Airport,Iraq
Barora Airport,South Australia
Jacarepaguá Airport,Mauritius
Rourkela Airport,Solomon Islands
Phoenix Deer Valley Airport,Malawi
Dwanga Airport,Madagascar
Soalala Airport,United Arab Emirates
Al Maktoum International Airport,Saudi Arabia
Dawadmi Domestic Airport,Texas
David Wayne Hooks Memorial Airport,Sri Lanka
Diyawanna Oya Seaplane Base,Afghanistan
Dwyer Airport,United Arab Emirates
Dubai International Airport,Queensland
Dixie Airport,Mississippi
Bruce Campbell Field,Connecticut
Danbury Municipal Airport,Queensland
Dysart Airport,Hunan
Zhangjiajie Hehua Airport,Pennsylvania
Doylestown Airport,Queensland
Diamantina Lakes Airport,Chukotka
Ugolny Airport,Texas
Dyess Air Force Base,Tajikistan
Dushanbe International Airport,Northern Territory
Ambilobe Airport,Gujarat
Am Timan Airport,Mozambique
Sardar Vallabhbhai Patel International Airport,Papua New Guinea
Alto Molocue Airport,Papua New Guinea
Ama Airport,Ethiopia
Amboin Airport,Minas Gerais
Arba Minch Airport,Colorado
Almenara Airport,Panama
Animas Air Park,Jordan
Puerto Armuelles Airport,Michigan
Queen Alia International Airport,Chad
Gratiot Community Airport,Madagascar
Mao Airport,Indonesia
Ampanihy Airport,Netherlands
Pattimura Airport,South Australia
Amsterdam Airport Schiphol,Papua New Guinea
Amata Airport,Nenets Autonomous Okrug
Amanab Airport,Iowa
Chehalis-Centralia Airport,Florida
Charlotte Douglas International Airport,Formosa
Columbus Municipal Airport,Corsica
Caldas Novas Airport,Venezuela
Clearwater Air Park,Queensland
Clorinda Airport,Sri Lanka
Calvi – Sainte-Catherine Airport,Ceará
Calabozo Airport,New South Wales
Cunnamulla Airport,Campeche
Bandaranaike International Airport,Rhône-Alpes
Camocim Airport,Mato Grosso do Sul
Cootamundra Airport,Ohio
Ciudad del Carmen International Airport,Illinois
Chambéry-Savoie Airport,Taiwan
Corumbá International Airport,Malawi
John Glenn Columbus International Airport,Queensland
University of Illinois Willard Airport,Guatemala
Qimei Airport,Morocco
North Seaplane Base,Cameroon
NAS Whiting Field – North,Krasnoyarsk Krai
Noshahr Airport,Minnesota
Yaoundé Nsimalen International Airport,Western Australia
Alykel Airport,New Zealand
Slayton Municipal Airport,New South Wales
Norseman Airport,Thailand
Nelson Airport,Queensland
Scone Airport,Sicily
Nakhon Si Thammarat Airport,Fiji
Noosa Airport,Norway
Naval Air Station Sigonella,Mozambique
Natadola Seaplane Base,California
"Notodden Airport, Tuven",Pays de la Loire
Santa Carolina Airport,Jiangsu
NAS Point Mugu,Indonesia
Nantes Atlantique Airport,Utah
Nantong Xingdong Airport,New South Wales
Palma de Mallorca Airport,Alaska
Palm Island Airport,Papua New Guinea
Port Moller Airport,Sicily
Pumani Airport,Papua New Guinea
Falcone–Borsellino Airport,Santa Cruz
Pimaga Airport,New Zealand
Perito Moreno Airport,Syria
Palmerston North Airport,Guyana
Palmyra Airport,Venezuela
Paramakatoi Airstrip,Tocantins
Santiago Mariño Caribbean International Airport,Massachusetts
Palmas–Brigadeiro Lysias Rodrigues Airport,Chubut
Metropolitan Airport,Costa Rica
El Tehuelche Airport,Navarre
Palmar Sur Airport,Tocantins
Pamplona Airport,Oklahoma
Porto Nacional Airport,Belize
Ogoki Post Airport,Alberta
Oxford House Airport,Ontario
Opinaca Aerodrome,Manitoba
High Level Airport,Quebec
Yola Airport,Alberta
Yongphulla Airport,Nigeria
Oshawa Airport,Bhutan
Rainbow Lake Airport,Ontario
Billy Bishop Regional Airport,Alberta
Yotvata Airfield,Ontario
Ottawa Macdonald–Cartier International Airport,Israel
Prince Albert (Glass Field) Airport,Ontario
Alberni Valley Regional Airport,Saskatchewan
Nora Aliqatchialuk Ruben Airport,British Columbia
Parry Sound Area Municipal Airport,Northwest Territories
Peace River Airport,Ontario
Ostend–Bruges International Airport,Bruges
Ohio State University Airport,Ohio
Orsk Airport,Orenburg Oblast
Kosciusko-Attala County Airport,Mississippi
"Namsos Airport, Høknesøra",Norway
Koszalin-Zegrze Pomorskie Airport,Poland
Mota Airport,Ethiopia
Bol-Bérim Airport,Chad
Contadora Airport,Panama
Worthington Municipal Airport,Minnesota
Southwest Oregon Regional Airport,Oregon
Pitu Airport,Indonesia
Otjiwarongo Airport,Namibia
Tillamook Airport,Oregon
Boutilimit Airport,Mauritania
Ottumwa Regional Airport,Iowa
Ed-Air Airport,Indiana
Henri Coandă International Airport,Romania
Coto 47 Airport,Costa Rica
Mitchell Plateau Airport,Finland
Frank Miloye Milenkowichi–Marília State Airport,Lombardy
Mili Airport,New South Wales
Mikkeli Airport,South Australia
Merimbula Airport,Oklahoma
Minnipa Airport,Israel
Miami Municipal Airport,Nebraska
Mitzpe Ramon Airport,Tunisia
Millard Airport,Papua New Guinea
Monastir Habib Bourguiba International Airport,California
Misima Island Airport,Nigeria
Shafter Airport,New Jersey
Maiduguri International Airport,Iowa
Millville Municipal Airport,Colombia
Marshalltown Municipal Airport,Northern Territory
Mirití-Paraná Airport,Northern Territory
Mittiebah Airport,Madagascar
Mainoru Airport,Marshall Islands
Manja Airport,Ivory Coast
Mejit Airport,Pakistan
Boké Baralande Airport,Guinea
Suvarnabhumi Airport,Thailand
Cleveland Burke Lakefront Airport,Ohio
Bakelalan Airport,Sarawak
Balkanabat Airport,Turkmenistan
Bamako–Sénou International Airport,Mali
Barkly Downs Airport,Queensland
Blackall Airport,Queensland
Bokoro Airport,Chad
Fatmawati Soekarno Airport,Indonesia
Blackstone Army Airfield,Virginia
Betioky Airport,Madagascar
Raleigh County Memorial Airport,West Virginia
Brookings Regional Airport,South Dakota
Kavumu Airport,Democratic Republic of the Congo
Bukoba Airport,Tanzania
General José Antonio Anzoátegui International Airport,Venezuela
Panamá Pacífico International Airport,Panama
Lalibela Airport,Azerbaijan
Silampari Airport,Western Australia
Lankaran International Airport,Indonesia
Lissadell Airport,Indonesia
Kelila Airport,Queensland
Palopo Lagaligo Airport,Formosa
Linda Downs Airport,Angola
Alférez Armando Rodríguez Airport,Shanxi
Lobito Airport,Malawi
Lüliang Airport,Vermont
Lilongwe International Airport,New Jersey
Caledonia County Airport,Alaska
South Jersey Regional Airport,Malawi
Lake Minchumina Airport,Colombia
Salima Airport,Río Negro
La Macarena Airport,Pays de la Loire
Los Menucos Airport,Papua New Guinea
Southdowns Airport,Moldova
Kansai International Airport,Zambia
Kilwa Masoko Airport,Honshu
Kikinonda Airport,Tanzania
Yemelyanovo International Airport,Papua New Guinea
Kaili Huangping Airport,Krasnoyarsk Krai
Kanas Airport,Guizhou
Kortrijk–Wevelgem International Airport,Xinjiang
Kerama Airport,Belgium
Kertajati International Airport,Kerama Islands
Kamiraba Airport,West Java
Blangpidie Airport,Papua New Guinea
Koyuk Alfred Adams Airport,Southwest Aceh Regency
Kitoi Bay Seaplane Base,Alaska
Khon Kaen Airport,Alaska
Kokoda Airport,Thailand
Kerikeri Airport,Papua New Guinea
Itaituba Airport,Minas Gerais
Ituberá Airport,Papua New Guinea
