airport,location
Rasht Airport,Iran
Raduzhny Airport,Khanty-Mansi Autonomous Okrug
Cravo Norte Airport,Colombia
Dubois Municipal Airport,Idaho
Debre Tabor Airport,Ethiopia
Dambulu Oya Tank Seaplane Base,Sri Lanka
Dubrovnik Airport,Croatia
Dalby Airport,Queensland
Ronald Reagan Washington National Airport,"Washington, D.C."
Canefield Airport,Dominica
Dubai Creek Seaplane Base,United Arab Emirates
Decimomannu Air Base,Sardinia
Dahl Creek Airport,Alaska
Castres–Mazamet Airport,Midi-Pyrénées
RAAF Base Curtin,Western Australia
Duncan Town Airport,Ragged Island
Pryor Field Regional Airport,Alabama
Daocheng Yading Airport,Sichuan
Dodge City Regional Airport,Kansas
Apalapsili Airport,Indonesia
Altay Airport,Xinjiang
Asau Airport,Savai'i Island
Allah Valley Airport,Philippines
Araxá Airport,Minas Gerais
Al Ghaydah Airport,Yemen
Quetzaltenango Airport,Guatemala
Abakan International Airport,Republic of Khakassia
Asaba International Airport,Nigeria
Albacete Airport,Castilla-La Mancha
Abadan International Airport,Iran
Lehigh Valley International Airport,Pennsylvania
Abaiang Atoll Airport,Kiribati
Abingdon Airport,Queensland
Alpha Airport,Queensland
Abilene Regional Airport,Texas
Port Bouet Airport,Côte d'Ivoire
Kabri Dar Airport,Ethiopia
Ambler Airport,Alaska
Hugo Chávez International Airport,Colombia
Juan H. White Airport,Maine
Caribou Municipal Airport,Morocco
Anfa Airport,Portugal
Cascais Municipal Aerodrome,Pernambuco
Caruaru Airport,Angola
Cazombo Airport,Rio de Janeiro
Bartolomeu Lysandro Airport,England
Carlisle Lake District Airport,French Guiana
Cayenne – Félix Eboué Airport,New South Wales
Cobar Airport,Bolivia
Jorge Wilstermann International Airport,Western Australia
Cherrabun Airport,Andaman and Nicobar Islands
Car Nicobar Air Force Base,Maryland
Greater Cumberland Regional Airport,Iowa
Council Bluffs Municipal Airport,England
Cambridge Airport,Algeria
Boudghene Ben Ali Lotfi Airport,Tasmania
Cape Barren Island Airport,Dominican Republic
Cabo Rojo Airport,Kansas
Ubon Ratchathani Airport,Thailand
Ubrub Airport,Indonesia
Columbus-Lowndes County Airport,Mississippi
Ubatuba Airport,São Paulo
Kalumburu Airport,Western Australia
Ulanqab Airport,Inner Mongolia
Yucca Airstrip,Nevada
Eunice Airport,Louisiana
Lutsk Airport,Ukraine
Buchanan Airport,Liberia
Ukhta Airport,Komi Republic
Everett–Stewart Regional Airport,Tennessee
Undara Airport,Queensland
Bermuda Dunes Airport,California
Volkel Air Base,Netherlands
Ten. Cel. Av. César Bombonato Airport,Minas Gerais
Uzhhorod International Airport,Ukraine
Campoformido Airport,Friuli-Venezia Giulia
Maharana Pratap Airport,Rajasthan
Naracoorte Airport,South Australia
Macanal Airport,Colombia
Boundétingou Airport,Benin
Banaina Airport,Indonesia
Dr. Babasaheb Ambedkar International Airport,Maharashtra
Naha Airport,Indonesia
Annai Airport,Guyana
Nakhchivan International Airport,Azerbaijan
Nakhon Ratchasima Airport,Thailand
Nalchik Airport,Kabardino-Balkaria
Namlea Airport,Indonesia
Nadi International Airport,Fiji
Nanchong Gaoping Airport,Sichuan
Naples International Airport,Campania
Qaanaaq Airport,Greenland
Puerto Nare Airport,Colombia
Lynden Pindling International Airport,New Providence
São Gonçalo do Amarante–Governador Aluízio Alves International Airport,Rio Grande do Norte
Rancagua de la Independencia Airport,Querétaro
Querétaro Intercontinental Airport,Nigeria
Warri Airport,São Paulo
Mário Pereira Lopes Airport,Algeria
Ain Arnat Airport,Campania
Salerno Costa d'Amalfi Airport,Xinjiang
Shache Airport,Libya
Ubari Airport,England
Chichester/Goodwood Airport,Nigeria
Akwa Ibom International Airport,England
RAF Wyton,North Carolina
Néma Airport,Wyoming
Emo Airport,Mauritania
Emporia Municipal Airport,Papua New Guinea
Embessa Airport,Kansas
San Gabriel Valley Airport,Papua New Guinea
El Maitén Airport,California
El Minya Airport,Chubut
Kenai Municipal Airport,Egypt
Eneabba Airport,Alaska
Nancy-Essey Airport,Western Australia
Vance Air Force Base,Lorraine
H. Hasan Aroeboesman Airport,Oklahoma
Enontekiö Airport,Indonesia
Enshi Xujiaping Airport,Finland
El Nido Airport,Hubei
Bilaspur Airport,Chhattisgarh
"Albrook ""Marcos A. Gelabert"" International Airport",Panama
Paderborn Lippstadt Airport,Lippstadt
Paine Field,Washington
Pakuba Airfield,Uganda
Pagadian Airport,Philippines
Barkley Regional Airport,Kentucky
Parachinar Airport,Pakistan
Port Allen Airport,Hawaii
Captain Germán Olano Moreno Air Base,Colombia
Tyndall Air Force Base,Florida
Pattani Airport,Thailand
Palo Alto Airport,California
Toussaint L'Ouverture International Airport,Haiti
Palmer Municipal Airport,Alaska
Paros National Airport,Île-de-France
Lok Nayak Jayaprakash Airport,Greece
Pauk Airport,Bihar
Paulo Afonso Airport,Myanmar
Campbell River Airport,British Columbia
Bob Quinn Lake Airport,British Columbia
Yibin Wuliangye Airport,Sichuan
Telegraph Harbour Seaplane Base,British Columbia
Brandon Municipal Airport,Manitoba
Opapimiskan Lake Airport,Ontario
Brochet Airport,Manitoba
Berens River Airport,Manitoba
Bedwell Harbour Water Aerodrome,British Columbia
Lourdes-de-Blanc-Sablon Airport,Quebec
Bonnyville Airport,Alberta
Courtenay Airpark,British Columbia
Cambridge Bay Airport,Nunavut
Cornwall Regional Airport,Ontario
Nanaimo Airport,British Columbia
Centralia/James T. Field Memorial Aerodrome,Ontario
Cortes Island Aerodrome,British Columbia
West Kootenay Regional Airport,British Columbia
Minlaton Airport,Yukon
Xiamen Gaoqi International Airport,Ecuador
Macmillan Pass Airport,Queensland
Edmundo Carvajal Airport,Springdale
Yam Island Airport,Vietnam
Northwest Arkansas Regional Airport,Iraq
Alzintan Airport,Libya
Zhigansk Airport,Yakutia
Zamzama Airport,Pakistan
Jenpeg Airport,Manitoba
Swan River Airport,Manitoba
Tanjung Pelepas Port Airport,Johor
Kasaba Bay Airport,Zambia
Kashechewan Airport,Ontario
Kegaska Airport,Quebec
Zyryanka Airport,Yakutia
Playa de Oro International Airport,Colima
La Tabatière Airport,Quebec
Pasir Gudang Port Airport,Johor
Zalingei Airport,Sudan
Sena Madureira Airport,Acre
South Cariboo Regional Airport,British Columbia
Wairoa Aerodrome,New Zealand
Wittenoom Airport,Western Australia
Witu Airport,Papua New Guinea
Woja Airport,Ailinglaplap Atoll
General William J. Fox Airfield,California
Wajir Airport,Kenya
Wonju Airport,South Korea
Wanaka Airport,New Zealand
Warracknabeal Airport,Victoria
Air Force Base Waterkloof,South Africa
Hwange Town Airport,Zimbabwe
Wakkanai Airport,Hokkaido
Aleknagik Airport,Alaska
Wakunai Airport,Papua New Guinea
Walker's Cay Airport,Abaco Islands
Wallal Airport,Western Australia
Walcha Airport,New South Wales
Obock Airport,Indonesia
Obano Airport,Florida
Okeechobee County Airport,Bavaria
Oberpfaffenhofen Airport,Pará
Óbidos Airport,Belgium
Oostmalle Airfield,Papua New Guinea
Morobe Airport,Scotland
Oban Airport,Hokkaido
Tokachi–Obihiro Airport,Rhône-Alpes
Aubenas Aerodrome,Alaska
Kobuk Airport,Papua New Guinea
Obo Airport,Florida
Ocean Reef Club Airport,Ecuador
Francisco de Orellana Airport,Maryland
Ocean City Municipal Airport,Florida
Ocala International Airport,Texas
A.L. Mangham Jr. Regional Airport,Jamaica
João Correa da Rocha Airport,Pará
Macon Downtown Airport,Georgia
Adolfo Suárez Madrid–Barajas Airport,California
Madera Municipal Airport,Texas
Midland International Air and Space Port,Papua New Guinea
Madang Airport,Balearic Islands
Menorca Airport,Malawi
Mangochi Airport,Marshall Islands
Marshall Islands International Airport,South Sudan
Malakal Airport,Indonesia
Mangole Airport,Tamaulipas
General Servando Canales International Airport,England
Manchester Airport,Amazonas
Eduardo Gomes International Airport,Papua New Guinea
Mamai Airport,Thailand
Mae Sot Airport,Venezuela
La Chinita International Airport,Papua New Guinea
Momote Airport,Democratic Republic of the Congo
Matadi Tshimpi Airport,Leeward Islands
Maupiti Airport,Maloelap Atoll
Stralsund–Barth Airport,Kiribati
