,airport,location,lat,lon
185,Enid Woodring Regional Airport,Oklahoma,34.9550817,-97.2684063
186,Hosea Kutako International Airport,Namibia,-22.4822038,17.472054302453607
187,Wondai Airport,Queensland,-26.2842095,151.8609253
188,Waldronaire Airport,Washington,48.71244645,-123.01864572666307
189,Barrow County Airport,Georgia,33.981797,-83.66532996642587
190,Shiyan Wudangshan Airport,Hubei,32.59258265,110.90677361967343
191,Parker County Airport,Texas,32.7487959,-97.6816391
192,Wedau Airport,Papua New Guinea,47.700220400000006,6.831483446051244
193,Weifang Airport,Shandong,36.647181450000005,119.11501057347209
194,Bialla Airport,Papua New Guinea,-5.3315012500000005,151.00962156530997
195,Sivas Airport,Turkey,39.81596045,36.901063090183776
196,Vatomandry Airport,Madagascar,-19.3749233,48.9388654
197,Vatukoula Airport,Fiji,-17.499572399999998,177.86308715740847
198,Vavaʻu International Airport,Tonga,-18.58555615,-173.96383186966113
199,"Vardø Airport, Svartnes",Norway,70.35480945,31.04628227077137
200,Ann Airport,Myanmar,19.7704774,94.02635921340655
201,Mandalay Chanmyathazi Airport,Myanmar,21.9368685,96.08892957340962
202,Vandenberg Air Force Base,California,34.742593299999996,-120.51559863476373
203,Bokpyin Airport,Myanmar,11.1488021,98.7363860029817
204,Brescia Airport,Lombardy,45.4279922,10.328465676993805
205,Vanuabalavu Airport,Fiji,-18.1239696,179.0122737
206,Visby Airport,Sweden,57.66543765,18.34705855149554
207,Can Tho International Airport,Vietnam,10.083092,105.71236897403764
208,Daytona Beach International Airport,Florida,29.181643899999997,-81.05426943447691
209,Shahjalal International Airport,Bangladesh,23.8416155,90.4101005
210,Da Nang International Airport,Vietnam,16.0425792,108.19715873236427
211,Daup Airport,Papua New Guinea,-5.6816069,144.2489081
212,Barstow-Daggett Airport,California,34.86011845,-116.79023106336666
213,Dathina Airport,Yemen,16.3471243,47.8915271
214,Dakhla Oasis Airport,Egypt,25.4005819,28.996849404176416
215,Dallas Love Field,Texas,32.858612550000004,-96.88826429335461
216,Damascus International Airport,Syria,33.4116156,36.5133509
217,Danville Regional Airport,Virginia,36.5697488,-79.34012689955655
218,Dabo Airport,Papua New Guinea,-0.48012585,104.5802815272672
219,Darchula Airport,Nepal,29.668470399999997,80.54784910885797
220,Julius Nyerere International Airport,Tanzania,-6.8741937,39.20752396159325
221,Great Bear Lake Airport,Northwest Territories,66.7031021,-119.7070007
222,Datong Yungang Airport,Shanxi,40.065804650000004,113.4743775354425
223,Anaa Airport,Tuamotus,-17.3506654,-145.51111994065877
224,Catacamas Airport,Honduras,14.87529595,-85.77497294897265
225,Incirlik Air Base,Turkey,37.0060338,35.420902970986
226,Elcho Island Airport,Colombia,-12.01921715,135.57417279048445
227,South Arkansas Regional Airport at Goodwin Field,Northern Territory,33.22273975,-92.81174222680195
228,El Real Airport,Arkansas,-17.9176704,31.09878714078309
229,El Fasher Airport,Panama,13.621646250000001,25.328843431835722
230,El Golea Airport,Sudan,30.58655475,2.864485912226581
231,North Eleuthera Airport,Algeria,25.47674915,-76.6817563
232,Elim Airport,Eleuthera Island,64.6187457,-162.2702575
233,El Recreo Airport,Alaska,2.0,-74.133333
234,Elk City Regional Business Airport,Colombia,35.4292165,-99.3945372
235,Ellisras Airport,Oklahoma,-23.7267318,27.691888201677465
236,Elmira/Corning Regional Airport,South Africa,42.1608441,-76.89199038453467
237,Bowers Field,Corning,41.158154800000005,-81.3681787
238,Eldorado Airport,Washington,30.8603439,-100.61088529628441
239,El Paso International Airport,Misiones,31.8092748,-106.36664263248113
240,Prince Nayef bin Abdulaziz Regional Airport,Texas,31.8160381,-99.5120986
241,Elelim Airport,Saudi Arabia,-3.77883575,139.38834034361827
242,East London Airport,Indonesia,-33.03607975,27.822543151761703
243,Arctic Bay Airport,Nunavut,73.0053024,-85.0330963
244,Cat Lake Airport,Ontario,51.72729395,-91.82639809412494
